"","year","nest.identity","season","clutch.size","mean.egg.volume","chick.identity","laying.order","egg.volume","relative.egg.volume","chick.hatched.","hatching.asynchrony","time.to.return","sex","paternity","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","tarsus.length..mm..at.brood.age.13","nestling.survival","recruitment"
"119",2002,20,4,6,1533.27,119,1,1475.89,-57.38,"yes",6.75,4,"female","social",1.5,1.75,2.75,3.75,3.75,4,5,5.75,6.75,7.5,8.75,9.5,10.5,17.91,"dead","notrecruited"
"120",2002,20,4,6,1533.27,120,4,1522.65,-10.62,"yes",6.75,4,"female","social",1.5,2.25,3.5,5,5.75,7.25,8.25,10,10.5,11,12.5,13,13.75,19.03,"fledged","notrecruited"
"121",2002,21,4,5,1619.57,121,1,1752.35,132.78,"yes",0,4,"male","social",1.5,2.5,3.75,5.25,5.75,8.75,11.25,13,13,13.75,13.75,14,15.25,19.59,"fledged","notrecruited"
"122",2002,21,4,5,1619.57,122,2,1619.29,-0.28,"yes",0,4,"male","social",1.5,2.5,3.25,5,6.5,8.5,11,12.25,13,13.75,13.5,14,15.25,19.95,"fledged","notrecruited"
"123",2002,21,4,5,1619.57,123,3,1559.41,-60.16,"yes",4.75,0.75,"female","social",1.25,2.25,3.25,4.75,6.25,8,10.25,11.75,12.75,13,13,12.75,13.75,19.66,"fledged","notrecruited"
"124",2002,21,4,5,1619.57,124,4,1588.31,-31.26,"yes",11,9.5,"male","social",NA,1.75,3,3.75,4.75,7.5,9.5,10.5,10.75,12.75,12.75,13.5,15.25,19.58,"fledged","notrecruited"
"125",2002,21,4,5,1619.57,125,5,1578.48,-41.09,"yes",31.5,1,"female","social",NA,1,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"126",2002,22,2,6,1776.62,126,1,1820.87,44.26,"yes",0,2.5,"male","social",2,2.5,3.5,6.25,7.5,9.25,12,12.75,13.75,14,13.5,14,13,19.32,"fledged","notrecruited"
"127",2002,22,2,6,1776.62,127,2,1765.82,-10.8,"yes",0,2.5,"male","social",1.5,2.5,3.5,5.5,6.5,8.5,10.5,12,13.75,13.75,13.75,14,12.75,20.14,"fledged","recruited"
"128",2002,22,2,6,1776.62,128,3,1792.76,16.15,"yes",0,2.5,"female","social",1.5,2.5,3.25,5.5,6.75,8.25,10.5,12,13.25,13,13.75,14.25,13,19.88,"fledged","notrecruited"
"129",2002,22,2,6,1776.62,129,4,1756.91,-19.71,"yes",2.75,3,"male","social",1.5,2,3.5,5.5,6.75,8.75,10.75,12,14,13.75,13.5,14.25,13.5,20.17,"fledged","notrecruited"
"130",2002,22,2,6,1776.62,130,5,1734.07,-42.55,"yes",26,3.25,"male","social",NA,1.5,2,3.25,4.75,6,8.5,9.75,11.75,12.5,12.75,13.25,12.25,19.72,"fledged","notrecruited"
"131",2002,22,2,6,1776.62,131,6,1789.26,12.65,"yes",56.25,7.75,"female","social",NA,NA,NA,1.5,1.75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
